"PA_Subzone","Subzone_Name","Latitude","Longitude","Planning_Area"
"TGL_CHATSWORTH","Chatsworth","1.29703461507","103.823402263","Tanglin"
"TGL_NASSIM","Nassim","1.3138608469","103.82435728","Tanglin"
"TGL_RIDOUT","Ridout","1.30343427502","103.811468698","Tanglin"
"TGL_TYERSALL","Tyersall","1.31458674408","103.812945338","Tanglin"
"TUA_TENGEH","Tengeh","1.33847647671","103.650248643","Tuas"
"TUA_TUAS_BAY","Tuas Bay","1.3183378374","103.643914659","Tuas"
"TUA_TUAS_NORTH","Tuas North","1.32674591798","103.651245061","Tuas"
"TUA_TUAS_PROMENADE","Tuas Promenade","1.33198543529","103.634908725","Tuas"
"TUA_TUAS_VIEW","Tuas View","1.30115452842","103.633425282","Tuas"
"TUA_TUAS_VIEW_EXTENSION","Tuas View Extension","1.26958296064","103.620363085","Tuas"
"WDL_GREENWOOD_PARK","Greenwood Park","1.44729464999","103.784869571","Woodlands"
"WDL_MIDVIEW","Midview","1.4398884999","103.791531658","Woodlands"
"WDL_NORTH_COAST","North Coast","1.44754450135","103.774187622","Woodlands"
"WDL_SENOKO_WEST","Senoko West","1.45117166719","103.796669579","Woodlands"
"WDL_WOODGROVE","Woodgrove","1.42927937396","103.778551911","Woodlands"
"WDL_WOODLANDS_EAST","Woodlands East","1.44124987799","103.801927307","Woodlands"
"WDL_WOODLANDS_REGIONAL_CENTRE","Woodlands Regional Centre","1.43860198459","103.784535653","Woodlands"
"WDL_WOODLANDS_SOUTH","Woodlands South","1.42950431375","103.79386651","Woodlands"
"WDL_WOODLANDS_WEST","Woodlands West","1.437463649","103.775651993","Woodlands"
"WWC_WESTERN_WATER_CATCHMENT","Western Water Catchment","1.38212976818","103.689729797","Western Water Catchment"
"YIS_KHATIB","Khatib","1.41799942647","103.828651632","Yishun"
"YIS_LOWER_SELETAR","Lower Seletar","1.40905846684","103.846236849","Yishun"
"YIS_NEE_SOON","Nee Soon","1.40751628058","103.814643513","Yishun"
"YIS_NORTHLAND","Northland","1.43809471362","103.837996503","Yishun"
"YIS_SPRINGLEAF","Springleaf","1.40140910975","103.824060693","Yishun"
"YIS_YISHUN_CENTRAL","Yishun Central","1.42670524631","103.837659412","Yishun"
"YIS_YISHUN_EAST","Yishun East","1.42790245918","103.846587187","Yishun"
"YIS_YISHUN_SOUTH","Yishun South","1.41846051722","103.837816444","Yishun"
